age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
60,retired,married,tertiary,no,6684,yes,yes,cellular,5,feb,173,1,-1,0,unknown
55,retired,divorced,primary,no,53,yes,no,unknown,29,may,84,2,-1,0,unknown
34,management,single,tertiary,no,757,no,no,cellular,18,aug,37,4,-1,0,unknown
30,management,married,tertiary,no,7,yes,no,cellular,28,aug,173,1,164,4,other
47,management,married,tertiary,no,1224,no,no,cellular,21,aug,189,2,-1,0,unknown
38,technician,single,secondary,no,1130,no,no,cellular,4,jun,96,2,98,1,success
37,admin.,single,secondary,no,127,no,no,cellular,23,mar,83,4,-1,0,unknown
36,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,195,2,-1,0,unknown
28,blue-collar,single,secondary,no,3430,yes,no,unknown,6,jun,72,6,-1,0,unknown
47,technician,divorced,secondary,no,440,no,no,cellular,29,jan,147,1,-1,0,unknown
41,technician,married,secondary,no,-378,yes,no,cellular,5,feb,361,1,253,2,failure
57,management,married,tertiary,no,224,yes,no,cellular,24,jul,180,4,-1,0,unknown
35,management,married,tertiary,no,1942,yes,no,unknown,8,may,249,1,-1,0,unknown
28,blue-collar,single,secondary,yes,-871,yes,no,unknown,12,may,36,4,-1,0,unknown
45,blue-collar,married,primary,no,193,yes,yes,cellular,29,jul,116,2,-1,0,unknown
64,retired,married,secondary,no,571,yes,no,cellular,20,apr,1422,2,-1,0,unknown
40,management,married,tertiary,no,2840,yes,no,cellular,8,jul,1720,4,-1,0,unknown
32,management,married,tertiary,no,943,yes,no,cellular,30,jan,402,2,2,2,other
59,management,divorced,tertiary,no,7813,yes,no,cellular,21,nov,75,1,-1,0,unknown
27,technician,married,secondary,no,232,yes,yes,unknown,13,may,1167,1,-1,0,unknown
59,retired,single,secondary,no,351,yes,no,unknown,27,may,1063,5,-1,0,unknown
43,blue-collar,married,unknown,no,705,yes,no,unknown,3,jun,80,4,-1,0,unknown
52,technician,married,secondary,no,98,yes,no,cellular,28,jan,103,1,245,2,failure
