age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
49,management,single,tertiary,no,151,yes,no,cellular,8,jul,97,3,-1,0,unknown
40,technician,married,secondary,no,3056,no,no,cellular,26,aug,103,1,-1,0,unknown
43,blue-collar,married,secondary,no,545,yes,no,cellular,21,nov,144,1,-1,0,unknown
41,management,married,tertiary,no,768,no,no,cellular,7,aug,229,3,-1,0,unknown
26,admin.,single,tertiary,no,-164,yes,no,unknown,28,may,69,2,-1,0,unknown
52,unemployed,married,primary,no,-110,no,yes,cellular,29,jan,141,1,-1,0,unknown
54,admin.,divorced,secondary,no,-437,yes,yes,cellular,10,jul,158,1,-1,0,unknown
53,admin.,married,secondary,no,-197,yes,yes,unknown,15,may,178,1,-1,0,unknown
35,management,married,tertiary,no,-126,no,no,cellular,22,aug,82,2,-1,0,unknown
46,blue-collar,married,unknown,no,8,no,no,cellular,11,aug,79,6,-1,0,unknown
32,self-employed,married,tertiary,no,210,yes,no,cellular,19,nov,268,1,-1,0,unknown
38,blue-collar,married,primary,no,558,yes,no,cellular,6,feb,427,3,-1,0,unknown
31,self-employed,single,tertiary,no,217,no,no,cellular,19,nov,501,4,-1,0,unknown
33,admin.,single,secondary,no,434,yes,no,unknown,20,may,351,1,-1,0,unknown
39,blue-collar,married,secondary,no,72,yes,no,unknown,7,may,425,6,-1,0,unknown
31,management,single,tertiary,no,3981,yes,no,cellular,18,jul,286,1,-1,0,unknown
25,self-employed,single,unknown,no,1179,no,no,cellular,24,may,131,2,95,5,failure
55,technician,married,secondary,no,150,yes,yes,unknown,27,may,285,1,-1,0,unknown
32,blue-collar,divorced,secondary,no,0,yes,no,unknown,2,jun,746,2,-1,0,unknown
47,self-employed,married,tertiary,no,-80,yes,no,cellular,6,feb,150,3,270,2,failure
33,self-employed,married,tertiary,no,-355,yes,no,unknown,23,may,911,2,-1,0,unknown
35,services,divorced,secondary,no,-718,yes,no,cellular,21,nov,47,1,-1,0,unknown
43,admin.,married,secondary,no,1159,yes,no,cellular,14,apr,114,2,-1,0,unknown
29,blue-collar,married,secondary,no,47,yes,yes,cellular,15,may,245,1,-1,0,unknown
30,blue-collar,divorced,primary,no,511,yes,no,cellular,20,nov,157,3,-1,0,unknown
48,admin.,divorced,secondary,no,-407,yes,no,cellular,14,may,210,2,352,1,failure
37,entrepreneur,married,tertiary,no,404,yes,no,cellular,28,jul,55,10,-1,0,unknown
33,technician,single,secondary,no,5235,no,no,cellular,7,aug,67,3,-1,0,unknown
30,management,married,tertiary,no,0,yes,no,cellular,27,aug,453,4,-1,0,unknown
21,student,single,secondary,no,39,no,no,cellular,6,jul,207,2,-1,0,unknown
31,technician,married,secondary,no,0,no,no,cellular,20,aug,117,4,-1,0,unknown
56,admin.,married,secondary,no,1694,no,no,cellular,21,aug,793,10,-1,0,unknown
37,unemployed,married,secondary,no,80,no,no,cellular,3,feb,248,2,-1,0,unknown
38,blue-collar,married,secondary,no,702,no,no,unknown,17,jun,92,2,-1,0,unknown
32,blue-collar,married,primary,no,0,yes,no,unknown,20,may,142,1,-1,0,unknown
24,management,married,secondary,no,2278,yes,no,unknown,27,may,77,4,-1,0,unknown
26,management,single,tertiary,no,170,no,no,cellular,2,oct,160,2,109,1,success
60,unknown,married,unknown,no,652,no,no,unknown,19,jun,525,1,-1,0,unknown
41,technician,single,tertiary,no,6029,yes,no,unknown,14,may,254,2,-1,0,unknown
